Title,Release Date,Genre,Number of Discs,Price Tier,Type,Summary,
The Frozen Ground,23-Aug-13,Biography/Crime/Thriller,1,1,Movie,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,a090
The Grandmaster,23-Aug-13,Action/Biography/Drama,1,1,Movie,"The story of martial-arts master Ip Man, the man who trained Bruce Lee. (Subtitled)",a091
"The Great Gatsby
The Great Gatsby",10-May-13,Drama/Romance,1,1,Movie,A Midwestern war veteran finds himself drawn to the past and lifestyle of his millionaire neighbor.,a092
The Hangover Part III,23-May-13,Comedy,1,1,Movie,"When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the lam.",a093
The Heat,28-Jun-13,Action/Comedy/Crime,1,1,Movie,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,a094
The Host,29-Mar-13,Action/Adventure/Romance,1,1,Movie,"When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",a095
The Incredible Burt Wonderstone,15-Mar-13,Comedy,1,1,Movie,"When a street magician's stunts begins to make their show look stale, superstar magicians Burt Wonderstone and Anton Marvelton look to salvage on their act - and their friendship - by staging their own daring stunt.",a096
The Last Stand,18-Jan-13,Action/Crime/Thriller,1,1,Movie,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.",a097
The Purge,7-Jun-13,Horror/Sci-Fi/Thriller,1,1,Movie,"A family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legalized.",a098
The Walking Dead: Season 1,31-Oct-10,Horror/Thriller/Drama,1,2,TV Series,"Sheriff's Deputy Rick Grimes is shot and wounded in an altercation with criminals. After slipping into a coma for an indeterminate amount of time, Rick awakens in an abandoned hospital to find a post-apocalyptic world overrun by infectious zombies…",a099
The Walking Dead: Season 2,26-Oct-11,Horror/Thriller/Drama,2,2,TV Series,"he second season begins with Rick and his group of survivors leaving Atlanta. They decide Fort Benning will be their next destination. Along the way, they encounter…..",a100
The Walking Dead: Season 3,14-Oct-12,Horror/Thriller/Drama,2,2,TV Series,"Several months after the group escaped the farm, and Lori is in the final days of her pregnancy. The group stumbles upon an overrun prison and sets about converting it into their new home. While trying to clear the prison of walkers…",a101
This is 40,21-Dec-12,Comedy,1,1,Movie,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",a102
Trance,27-Mar-13,Crime/Drama/Mystery,1,1,Movie,An art auctioneer who has become mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,a103
Tunnel Vision,22-Jan-13,Crime/Drama/Thriller,1,1,Movie,"When a jury fails to convict the serial killer who savagely murdered his family, one man must rise above his desire for revenge and descend into the deranged world of a sadistic predator to uncover the truth and finally get justice.",a104
Upside Down,1-May-12,Drama/Fantasy/Romance,1,1,Movie,"Adam and Eden fell in love as teens despite the fact that they live on twinned worlds with gravities that pull in opposite directions. Ten years after a forced separation, Adam sets out on a dangerous quest to reconnect with his love.",a105
V/H/S AND V/H/S  2 - Double-Feature,6-Sep-12,Horror,1,1,Movie,"(2) Movie collection. VHS and VHS 2. When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",a106
Warm Bodies,1-Feb-13,Comedy/Horror/Romance,1,1,Movie,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",a107
We're The Millers,7-Aug-13,Comedy/Crime,1,1,Movie,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,a108
World War Z,21-Jun-13,Action/Horror/Adventure,1,1,Movie,"United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",a109
Wreck-It Ralph,2-Nov-12,Animation/Adventure/Comedy/Family,1,1,Movie,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",a110
Zeitgeist - Triple Feature,1-Jun-07,Documentary/History,1,1,Movie,"(3) Movies. Zeitgeist, Zeitgeist - Addendum, and Zeitgeist: Moving Forward, Triple Feature. Mythology and belief in society today, presenting uncommon perspectives of common cultural issues.",a111
Zero Dark Thirty,11-Jan-13,Drama/History/Thriller,1,1,Movie,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May 2011.",a112
Zumba Fitness Workout Series,1-Jan-10,Exercise/Fitness,2,2,Other,"Zumba involves dance and aerobic elements. Zumba's choreography incorporates hip-hop, soca, samba, salsa, merengue, mambo, martial arts, and some Bollywood and belly dance moves. Squats and lunges are also included.",a113
